                                                           Vallejo Police Department Public Log
                                                                  from 03/01/2026 to 03/01/2026
  Incident #        Date                              Location                             Description           Beat                    Disposition
2603010101     03/01/2026 11:11   00 BLK HOWARD AV                       FOLLOW UP                       5     MH TEAM -IHART PRIMARY

2603010102     03/01/2026 11:18   1000 BLK ADMIRAL CALLAGHAN LN          INFORMATIONAL REPORT            1     GENERAL SERVICE PROVIDED

2603010103     03/01/2026 11:18   1100 BLK ADMIRAL CALLAGHAN LN          911 HANGUP                      1     CANCELLED BY REPORTING PARTY

2603010104     03/01/2026 11:21   1100 BLK NIMITZ AV                     AUDIBLE ALARM                   6     UNFOUNDED

2603010106     03/01/2026 11:30   BELVEDERE CT/MEADOWS DR                ABANDONED VEHICLE               8     REPORT

2603010107     03/01/2026 11:35   300 BLK CORKWOOD ST                    AUDIBLE ALARM                   2     UNFOUNDED

2603010108     03/01/2026 11:40   200 BLK TENNESSEE ST                   FAMILY DISTURBANCE              6     GENERAL SERVICE PROVIDED

2603010109     03/01/2026 11:40   300 BLK AZUAR DR                       911 HANGUP                      6     UNABLE TO LOCATE

2603010110     03/01/2026 11:41   1000 BLK FAIRGROUNDS DR                TRESPASS IN PROGRESS            7     GENERAL SERVICE PROVIDED

2603010111     03/01/2026 11:41   00 BLK MARIPOSA ST                     SUSPICIOUS VEHICLE CHECK        5     REPORT

2603010112     03/01/2026 11:46   1200 BLK WARREN AV                     911 HANGUP                      2     CANCELLED BY DISPATCH

2603010113     03/01/2026 12:02   100 BLK AVIAN DR                       VEHICLE THEFT REPORT            2     REPORT

2603010114     03/01/2026 12:06   200 BLK ADMIRAL CALLAGHAN LN           INJURY COLLISION                1     REPORT

2603010116     03/01/2026 12:09   1600 BLK NAPA ST                       PARKING VIOLATION               5     GENERAL SERVICE PROVIDED

2603010117     03/01/2026 12:20   1000 BLK FAIRGROUNDS DR                DOMESTIC VIOLENCE REPORT        7     REPORT

2603010119     03/01/2026 12:23   700 BLK LINCOLN RD W                   PANHANDLER                      4     UNFOUNDED

2603010120     03/01/2026 12:28   1900 BLK BROADWAY ST                   MISSING PERSON                  7     CANCELLED BY REPORTING PARTY



Total 185 Records                                                      Page 3 of 7                                   Updated @ 3/6/2026 3:20:04 AM
                                                           Vallejo Police Department Public Log
                                                                  from 03/01/2026 to 03/01/2026
  Incident #        Date                              Location                              Description      Beat               Disposition
2603010121     03/01/2026 12:33   I 80 W/REDWOOD ST                      TRAFFIC STOP                         7     WARNING GIVEN

2603010123     03/01/2026 13:02   100 BLK HILBORN ST                     WELFARE CHECK                        6     MH TEAM -IHART PRIMARY

2603010124     03/01/2026 13:03   100 BLK MULLER ST                      AUDIBLE ALARM                        4     UNFOUNDED

2603010127     03/01/2026 13:15   00 BLK SPRINGSTOWNE CTR                TRESPASS IN PROGRESS                 2     UNABLE TO LOCATE

2603010128     03/01/2026 13:22   200 BLK MAINE ST                       VERBAL FIGHT                         6     GENERAL SERVICE PROVIDED

2603010131     03/01/2026 13:38   EL DORADO ST/CAROLINA ST               TRAFFIC STOP                         5     WARNING GIVEN

2603010132     03/01/2026 13:47   COLUMBUS PKY/DEVLIN DR                 TRAFFIC STOP                         2     GENERAL SERVICE PROVIDED

2603010133     03/01/2026 13:53   ALAMEDA ST/FLORIDA ST                  INJURY COLLISION                     5     REPORT

2603010135     03/01/2026 13:55   2800 BLK TUOLUMNE ST                   911 HANGUP                           7     UNABLE TO LOCATE

2603010136     03/01/2026 14:02   1400 BLK SACRAMENTO ST                 FAMILY DISTURBANCE                   6     GENERAL SERVICE PROVIDED

2603010138     03/01/2026 14:16   1100 BLK ADMIRAL CALLAGHAN LN          EXTRA PATROL                         1     GENERAL SERVICE PROVIDED

2603010139     03/01/2026 14:21   1000 BLK ADMIRAL CALLAGHAN LN          TRAFFIC STOP                         1     REPORT

2603010140     03/01/2026 14:22   1000 BLK CORCORAN AVE                  AUDIBLE ALARM                        8     GENERAL SERVICE PROVIDED

2603010141     03/01/2026 14:36   1200 BLK GLEN COVE PKY                 WELFARE CHECK                        3     MH TEAM -IHART PRIMARY

2603010142     03/01/2026 14:43   GEORGIA ST/14TH ST                     INFORMATIONAL REPORT                 4     COPIED TO PATROL LOG

2603010143     03/01/2026 14:46   400 BLK GILCREST AV                    AUDIBLE ALARM                        3     UNFOUNDED

2603010144     03/01/2026 14:59   BROADWAY ST/TENNESSEE ST               FAILURE TO YIELD                     5     ARREST

2603010147     03/01/2026 15:06   1600 BLK SANTA CLARA ST                NOISE COMPLAINT                      6     CANCELLED BY REPORTING PARTY

2603010148     03/01/2026 15:09   1200 BLK COLUSA ST                     911 HANGUP                           5     UNABLE TO LOCATE

2603010149     03/01/2026 15:13   400 BLK WILSON AV                      INFORMATIONAL REPORT                 6     CANCELLED BY DISPATCH

2603010150     03/01/2026 15:17   1300 BLK MARIPOSA ST                   NOISE COMPLAINT                      5     UNABLE TO LOCATE

2603010151     03/01/2026 15:18   00 BLK ADMIRAL CALLAGHAN LN            VERBAL FIGHT                         1     GENERAL SERVICE PROVIDED

2603010154     03/01/2026 15:32   3300 BLK TENNESSEE ST                  DOMESTIC VIOLENCE ORDER VIOLATION    1     REPORT

2603010155     03/01/2026 15:39   SUTTER ST/ILLINOIS ST                  SUSPICIOUS VEHICLE CHECK             5     GENERAL SERVICE PROVIDED

2603010156     03/01/2026 15:44   100 BLK GLEN COVE MARINA RD            VERBAL FIGHT                         3     CANCELLED BY REPORTING PARTY

2603010157     03/01/2026 15:50   500 BLK SANTA CLARA ST                 VERBAL FIGHT                         6     UNABLE TO LOCATE

2603010158     03/01/2026 16:01   100 BLK LINCOLN RD W                   911 HANGUP                           4     UNABLE TO LOCATE

2603010159     03/01/2026 16:05   2000 BLK ASCOT PKY                     VERBAL FIGHT                         2     GENERAL SERVICE PROVIDED

2603010160     03/01/2026 16:05   600 BLK SACRAMENTO ST                  911 HANGUP                           6     UNABLE TO LOCATE



Total 185 Records                                                      Page 4 of 7                                        Updated @ 3/6/2026 3:20:04 AM
                                                            Vallejo Police Department Public Log
                                                                   from 03/01/2026 to 03/01/2026
  Incident #        Date                                Location                           Description     Beat               Disposition
2603010161     03/01/2026 16:07   2000 BLK SONOMA BL                      PHYSICAL FIGHT                    6     UNABLE TO LOCATE

2603010162     03/01/2026 16:07   WALLACE AVE/REAM ST                     NOISE COMPLAINT                   4     ALERT BROADCAST

