                                                           Vallejo Police Department Public Log
                                                                  from 03/17/2026 to 03/17/2026
  Incident #        Date                               Location                           Description     Beat               Disposition
2603170102     03/17/2026 12:06   1800 BLK CAPITOL ST                      UNUSUAL CIRCUMSTANCES                         5     GENERAL SERVICE PROVIDED

2603170104     03/17/2026 12:15   300 BLK REIS AV                          INDECENT EXPOSURE IN PROGRESS                 2     UNABLE TO LOCATE

2603170106     03/17/2026 12:17   TUOLUMNE ST/PANORAMA DR                  STOLEN VEHICLE RECOVERY                       7     ARREST

2603170107     03/17/2026 12:18   200 BLK NOTRE DAME DR                    WELFARE CHECK                                 8     UNFOUNDED

2603170109     03/17/2026 12:24   1100 BLK ADMIRAL CALLAGHAN LN            CUSTOMER DISTURBANCE                          1     REFERRED TO ONLINE REPORTING

2603170110     03/17/2026 12:25   100 BLK FRISBIE ST                       ABANDONED VEHICLE                             6     GENERAL SERVICE PROVIDED

2603170111     03/17/2026 12:30   400 BLK HAMPSHIRE ST                     MENTAL DISTURBED SUBJECT                      5     GENERAL SERVICE PROVIDED

2603170112     03/17/2026 12:31   1000 BLK MAGAZINE ST                     TRESPASS IN PROGRESS                          3     CANCELLED BY REPORTING PARTY

2603170113     03/17/2026 12:32   100 BLK BAXTER ST                        ABANDONED VEHICLE                             6     REPORT



Total 174 Records                                                        Page 3 of 6                                                Updated @ 3/22/2026 3:20:03 AM
                                                          Vallejo Police Department Public Log
                                                                 from 03/17/2026 to 03/17/2026
  Incident #        Date                              Location                           Description    Beat               Disposition
2603170114     03/17/2026 12:34   300 BLK GEORGIA ST                    SECURITY CHECK                   6     GENERAL SERVICE PROVIDED
                                                                                                               REFERRED TO ANOTHER AGENCY -
2603170115     03/17/2026 12:34   900 BLK MONTEREY ST                   INFORMATIONAL REPORT             5
                                                                                                               HANDLED VIA 1021
2603170116     03/17/2026 12:37   2100 BLK ASCOT PKY                    911 HANGUP                       2     UNABLE TO LOCATE

2603170117     03/17/2026 12:39   2500 BLK SONOMA BL                    PETTY THEFT                      5     REPORT

2603170118     03/17/2026 12:43   100 BLK EL DORADO ST                  ALARM UNKNOWN                    4     UNFOUNDED

2603170120     03/17/2026 12:51   900 BLK BROADWAY ST                   FAMILY DISTURBANCE               5     UNABLE TO LOCATE

2603170121     03/17/2026 12:59   300 BLK PENNSYLVANIA ST               GRAND THEFT                      6     REPORT

2603170122     03/17/2026 13:03   SONOMA BL/LEWIS BROWN RD              INDECENT EXPOSURE IN PROGRESS    7     UNABLE TO LOCATE

2603170123     03/17/2026 13:16   REDWOOD ST/COUCH ST                   WELFARE CHECK                    5     GENERAL SERVICE PROVIDED

2603170125     03/17/2026 13:22   200 BLK KENTUCKY ST                   THREATS                          6     REPORT

2603170126     03/17/2026 13:35   100 BLK LAKEWOOD AV                   AUDIBLE ALARM                    2     CANCELLED BY REPORTING PARTY

2603170127     03/17/2026 13:36   200 BLK AUTO MALL PKY                 INFORMATIONAL REPORT             1     GENERAL SERVICE PROVIDED

2603170129     03/17/2026 13:57   600 BLK SHERIDAN ST                   911 HANGUP                       4     CANCELLED BY REPORTING PARTY

2603170130     03/17/2026 13:57   100 BLK GLENN ST                      INFORMATIONAL REPORT             5     GENERAL SERVICE PROVIDED

2603170131     03/17/2026 13:57   00 BLK VIEW ST                        ABANDONED VEHICLE                6     GENERAL SERVICE PROVIDED

2603170132     03/17/2026 14:06   2000 BLK BROADWAY ST                  STOLEN VEHICLE RECOVERY          8     REPORT

2603170133     03/17/2026 14:07   1100 BLK BEACH ST                     STOLEN VEHICLE RECOVERY          4     REPORT

2603170134     03/17/2026 14:07   100 BLK SHARI CT                      CORONER'S CASE                   8     REPORT

2603170135     03/17/2026 14:19   100 BLK YOLANO DR                     ABANDONED VEHICLE                7     GENERAL SERVICE PROVIDED

