                                                           Vallejo Police Department Public Log
                                                                  from 03/02/2026 to 03/02/2026
  Incident #        Date                              Location                             Description     Beat               Disposition
2603020230     03/02/2026 21:51   2900 BLK REDWOOD PKY                    NOISE COMPLAINT                   1     GENERAL SERVICE PROVIDED



Total 189 Records                                                      Page 6 of 7                                     Updated @ 3/7/2026 3:20:03 AM
                                                           Vallejo Police Department Public Log
                                                                  from 03/02/2026 to 03/02/2026
  Incident #        Date                               Location                            Description            Beat               Disposition
2603020231     03/02/2026 21:53   100 BLK AMADOR ST                       MENTAL DISTURBED SUBJECT                 4     UNFOUNDED

2603020232     03/02/2026 21:55   700 BLK INDIANA ST                      WELFARE CHECK                            5     GENERAL SERVICE PROVIDED

2603020233     03/02/2026 21:57   200 BLK DE ANZA DR                      911 HANGUP                               7     UNABLE TO LOCATE

2603020234     03/02/2026 22:04   00 BLK 6TH ST                           VERBAL FIGHT                             4     UNABLE TO LOCATE

2603020235     03/02/2026 22:07   00 BLK VALLE VISTA AV                   INFORMATIONAL REPORT                     6     GENERAL SERVICE PROVIDED

2603020238     03/02/2026 22:34   LOUISIANA ST/SONOMA BL                  MISDEMEANOR HIT AND RUN JUST OCCURRED    5     GENERAL SERVICE PROVIDED

2603020239     03/02/2026 22:34   100 BLK MAHOGANY DR                     911 HANGUP                               7     UNABLE TO LOCATE

2603020240     03/02/2026 22:40   00 BLK HARBOR WY                        RAVEN ALERT SHOTS FIRED                  6     UNABLE TO LOCATE

2603020241     03/02/2026 22:53   700 BLK ADMIRAL CALLAGHAN LN            SUSP CIRCUMSTANCES                       1     GENERAL SERVICE PROVIDED

2603020242     03/02/2026 22:58   1000 BLK ADMIRAL CALLAGHAN LN           PHYSICAL FIGHT                           1     UNABLE TO LOCATE

2603020243     03/02/2026 23:25   1000 BLK MAGAZINE ST                    TRAFFIC STOP                             3     WARNING GIVEN

2603020244     03/02/2026 23:38   900 BLK ADMIRAL CALLAGHAN LN            911 HANGUP                               1     UNABLE TO LOCATE

2603020245     03/02/2026 23:53   100 BLK DARLEY DR                       MENTAL DISTURBED SUBJECT                 1     REFERRED TO ANOTHER AGENCY

2603020246     03/02/2026 23:53   3000 BLK REDWOOD PKY                    AREA CHECK                               1     UNABLE TO LOCATE

2603020247     03/02/2026 23:56   VALLE VISTA AV/WHITECLIFF DR            TRAFFIC STOP                             7     WARNING GIVEN




Total 189 Records                                                      Page 7 of 7                                            Updated @ 3/7/2026 3:20:03 AM

